cwe_id,cwe_name,description,extended_description,capec_ids,parent_cwe_ids,child_cwe_ids,consequence_scopes,consequence_impacts,consequence_notes,consequence_text,mitigation_phases,mitigation_strategies,mitigation_effectiveness,mitigation_text,detection_methods,detection_effectiveness,detection_text
CWE-379,Creation of Temporary File in Directory with Insecure Permissions,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,"On some operating systems, the fact that the temporary file exists may be apparent to any user with sufficient privileges to access that directory. Since the file is visible, the application that is using the temporary file could be known. If one has access to list the processes on the system, the attacker has gained information about what the user is doing at that time. By correlating this with the applications the user is running, an attacker could potentially discover what a user's actions are. From this, higher levels of security could be breached.",,CWE-377,,Confidentiality,Read Application Data,"Since the file is visible and the application which is using the temp file could be known, the attacker has gained information about what the user is doing at that time.","Scopes: Confidentiality | Impacts: Read Application Data | Notes: Since the file is visible and the application which is using the temp file could be known, the attacker has gained information about what the user is doing at that time.","Requirements, Implementation",,,"Many contemporary languages have functions which properly handle this condition. Older C temp file functions are especially susceptible. | Try to store sensitive tempfiles in a directory which is not world readable -- i.e., per-user directories. | Avoid using vulnerable temp file functions.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-38,Path Traversal: '\absolute\pathname\here',"The product accepts input in the form of a backslash absolute path ('\absolute\pathname\here') without appropriate validation, which can allow an attacker to traverse the file system to unintended locations or access arbitrary files.",,,CWE-36,,"Confidentiality, Integrity","Read Files or Directories, Modify Files or Directories",,"Scopes: Confidentiality, Integrity | Impacts: Read Files or Directories, Modify Files or Directories",Implementation,Input Validation,High,"Assume all input is malicious. Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications, or transform it into something that does. When performing input validation, consider all potentially relevant properties, including length, type of input, the full range of acceptable values, missing or extra inputs, syntax, consistency across related fields, and conformance to business rules. As an example of business rule logic, ""boat"" may be syntactically valid because it only contains alphanumeric characters, but it is not valid if the input is only expected to contain colors such as ""red"" or ""blue."" Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input, especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However, denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright. When validating filenames, use stringent allowlists that limit the character set to be used. If feasible, only allow a single ""."" character in the filename to avoid weaknesses such as CWE-23, and exclude directory separators such as ""/"" to avoid CWE-36. Use a list of allowable file extensions, which will help to avoid CWE-434. Do not rely exclusively on a filtering mechanism that removes potentially dangerous characters. This is equivalent to a denylist, which may be incomplete (CWE-184). For example, filtering ""/"" is insufficient protection if the filesystem also supports the use of ""\"" as a directory separator. Another possible error could occur when the filtering is applied in a way that still produces dangerous data (CWE-182). For example, if ""../"" sequences are removed from the "".../...//"" string in a sequential fashion, two instances of ""../"" would be removed from the original string, but the remaining characters would still form the ""../"" string. | Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.",Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-382,J2EE Bad Practices: Use of System.exit(),"A J2EE application uses System.exit(), which also shuts down its container.",It is never a good idea for a web application to attempt to shut down the application container. Access to a function that can shut down the application is an avenue for Denial of Service (DoS) attacks.,,CWE-705,,Availability,"DoS: Crash, Exit, or Restart",,"Scopes: Availability | Impacts: DoS: Crash, Exit, or Restart","Architecture and Design, Implementation",Separation of Privilege,,"The shutdown function should be a privileged function available only to a properly authorized administrative user | Web applications should not call methods that cause the virtual machine to exit, such as System.exit() | Web applications should also not throw any Throwables to the application server as this may adversely affect the container. | Non-web applications may have a main() method that contains a System.exit(), but generally should not call System.exit() from other locations in the code",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-383,J2EE Bad Practices: Direct Use of Threads,Thread management in a Web application is forbidden in some circumstances and is always highly error prone.,"Thread management in a web application is forbidden by the J2EE standard in some circumstances and is always highly error prone. Managing threads is difficult and is likely to interfere in unpredictable ways with the behavior of the application container. Even without interfering with the container, thread management usually leads to bugs that are hard to detect and diagnose like deadlock, race conditions, and other synchronization errors.",,CWE-695,,Other,Quality Degradation,,Scopes: Other | Impacts: Quality Degradation,Architecture and Design,,,"For EJB, use framework approaches for parallel execution, instead of using threads.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-384,Session Fixation,"Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions.","Such a scenario is commonly observed when: A web application authenticates a user without first invalidating the existing session, thereby continuing to use the session already associated with the user. An attacker is able to force a known session identifier on a user so that, once the user authenticates, the attacker has access to the authenticated session. The application or container uses predictable session identifiers. In the generic exploit of session fixation vulnerabilities, an attacker creates a new session on a web application and records the associated session identifier. The attacker then causes the victim to associate, and possibly authenticate, against the server using that session identifier, giving the attacker access to the user's account through the active session.","CAPEC-196, CAPEC-21, CAPEC-31, CAPEC-39, CAPEC-59, CAPEC-60, CAPEC-61",CWE-610,,Access Control,Gain Privileges or Assume Identity,,Scopes: Access Control | Impacts: Gain Privileges or Assume Identity,"Architecture and Design, Operation",Firewall,Moderate,"Invalidate any existing session identifiers prior to authorizing a new user session. | For platforms such as ASP that do not generate new values for sessionid cookies, utilize a secondary cookie. In this approach, set a secondary cookie on the user's browser to a random value and set a session variable to the same value. If the session variable and the cookie value ever don't match, invalidate the session, and force the user to log on again. | Use an application firewall that can detect attacks against this weakness. It can be beneficial in cases in which the code cannot be fixed (because it is controlled by a third party), as an emergency prevention measure while more comprehensive software assurance measures are applied, or to provide defense in depth [REF-1481].",,,
CWE-385,Covert Timing Channel,"Covert timing channels convey information by modulating some aspect of system behavior over time, so that the program receiving the information can observe system behavior and infer protected information.","In some instances, knowing when data is transmitted between parties can provide a malicious user with privileged information. Also, externally monitoring the timing of operations can potentially reveal sensitive data. For example, a cryptographic operation can expose its internal state if the time it takes to perform the operation varies, based on the state. Covert channels are frequently classified as either storage or timing channels. Some examples of covert timing channels are the system's paging rate, the time a certain transaction requires to execute, and the time it takes to gain access to a shared bus.",CAPEC-462,CWE-514,,"Confidentiality, Other","Read Application Data, Other",Information exposure.,"Scopes: Confidentiality, Other | Impacts: Read Application Data, Other | Notes: Information exposure.","Architecture and Design, Implementation",,,"Whenever possible, specify implementation strategies that do not introduce time variances in operations. | Often one can artificially manipulate the time which operations take or -- when operations occur -- can remove information from the attacker. | It is reasonable to add artificial or random delays so that the amount of CPU time consumed is independent of the action being taken by the application.",,,
CWE-386,Symbolic Name not Mapping to Correct Object,"A constant symbolic reference to an object is used, even though the reference can resolve to a different object over time.",,,CWE-706,,"Access Control, Integrity, Confidentiality, Other, Non-Repudiation","Gain Privileges or Assume Identity, Modify Application Data, Modify Files or Directories, Read Application Data, Read Files or Directories, Other, Hide Activities","The attacker can gain access to otherwise unauthorized resources. | Race conditions such as this kind may be employed to gain read or write access to resources not normally readable or writable by the user in question. | The resource in question, or other resources (through the corrupted one) may be changed in undesirable ways by a malicious user. | If a file or other resource is written in this method, as opposed to a valid way, logging of the activity may not occur. | In some cases it may be possible to delete files that a malicious user might not otherwise have access to -- such as log files.","Scopes: Access Control, Integrity, Confidentiality, Other, Non-Repudiation | Impacts: Gain Privileges or Assume Identity, Modify Application Data, Modify Files or Directories, Read Application Data, Read Files or Directories, Other, Hide Activities | Notes: The attacker can gain access to otherwise unauthorized resources. | Race conditions such as this kind may be employed to gain read or write access to resources not normally readable or writable by the user in question. | The resource in question, or other resources (through the corrupted one) may be changed in undesirable ways by a malicious user. | If a file or other resource is written in this method, as opposed to a valid way, logging of the activity may not occur. | In some cases it may be possible to delete files that a malicious user might not otherwise have access to -- such as log files.",,,,,,,
CWE-39,Path Traversal: 'C:dirname',The product accepts input that contains a drive letter or Windows volume letter ('C:dirname') that potentially redirects access to an unintended location or arbitrary file.,,,CWE-36,,"Integrity, Confidentiality, Availability","Execute Unauthorized Code or Commands, Modify Files or Directories, Read Files or Directories, DoS: Crash, Exit, or Restart","The attacker may be able to create or overwrite critical files that are used to execute code, such as programs or libraries. | The attacker may be able to overwrite or create critical files, such as programs, libraries, or important data. If the targeted file is used for a security mechanism, then the attacker may be able to bypass that mechanism. For example, appending a new account at the end of a password file may allow an attacker to bypass authentication. | The attacker may be able read the contents of unexpected files and expose sensitive data. If the targeted file is used for a security mechanism, then the attacker may be able to bypass that mechanism. For example, by reading a password file, the attacker could conduct brute force password guessing attacks in order to break into an account on the system. | The attacker may be able to overwrite, delete, or corrupt unexpected critical files such as programs, libraries, or important data. This may prevent the software from working at all and in the case of a protection mechanisms such as authentication, it has the potential to lockout every user of the software.","Scopes: Integrity, Confidentiality, Availability | Impacts: Execute Unauthorized Code or Commands, Modify Files or Directories, Read Files or Directories, DoS: Crash, Exit, or Restart | Notes: The attacker may be able to create or overwrite critical files that are used to execute code, such as programs or libraries. | The attacker may be able to overwrite or create critical files, such as programs, libraries, or important data. If the targeted file is used for a security mechanism, then the attacker may be able to bypass that mechanism. For example, appending a new account at the end of a password file may allow an attacker to bypass authentication. | The attacker may be able read the contents of unexpected files and expose sensitive data. If the targeted file is used for a security mechanism, then the attacker may be able to bypass that mechanism. For example, by reading a password file, the attacker could conduct brute force password guessing attacks in order to break into an account on the system. | The attacker may be able to overwrite, delete, or corrupt unexpected critical files such as programs, libraries, or important data. This may prevent the software from working at all and in the case of a protection mechanisms such as authentication, it has the potential to lockout every user of the software.",Implementation,Input Validation,High,"Assume all input is malicious. Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications, or transform it into something that does. When performing input validation, consider all potentially relevant properties, including length, type of input, the full range of acceptable values, missing or extra inputs, syntax, consistency across related fields, and conformance to business rules. As an example of business rule logic, ""boat"" may be syntactically valid because it only contains alphanumeric characters, but it is not valid if the input is only expected to contain colors such as ""red"" or ""blue."" Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input, especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However, denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright. When validating filenames, use stringent allowlists that limit the character set to be used. If feasible, only allow a single ""."" character in the filename to avoid weaknesses such as CWE-23, and exclude directory separators such as ""/"" to avoid CWE-36. Use a list of allowable file extensions, which will help to avoid CWE-434. Do not rely exclusively on a filtering mechanism that removes potentially dangerous characters. This is equivalent to a denylist, which may be incomplete (CWE-184). For example, filtering ""/"" is insufficient protection if the filesystem also supports the use of ""\"" as a directory separator. Another possible error could occur when the filtering is applied in a way that still produces dangerous data (CWE-182). For example, if ""../"" sequences are removed from the "".../...//"" string in a sequential fashion, two instances of ""../"" would be removed from the original string, but the remaining characters would still form the ""../"" string. | Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.",Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-390,Detection of Error Condition Without Action,"The product detects a specific error, but takes no actions to handle the error.",,,CWE-755,,"Integrity, Other","Varies by Context, Unexpected State, Alter Execution Logic",An attacker could utilize an ignored error condition to place the system in an unexpected state that could lead to the execution of unintended logic and could cause other unintended behavior.,"Scopes: Integrity, Other | Impacts: Varies by Context, Unexpected State, Alter Execution Logic | Notes: An attacker could utilize an ignored error condition to place the system in an unexpected state that could lead to the execution of unintended logic and could cause other unintended behavior.","Implementation, Testing",,,"Properly handle each exception. This is the recommended solution. Ensure that all exceptions are handled in such a way that you can be sure of the state of your system at any given moment. | If a function returns an error, it is important to either fix the problem and try again, alert the user that an error has happened and let the program continue, or alert the user and close and cleanup the program. | Subject the product to extensive testing to discover some of the possible instances of where/how errors or return values are not handled. Consider testing techniques such as ad hoc, equivalence partitioning, robustness and fault tolerance, mutation, and fuzzing.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-391,Unchecked Error Condition,"[PLANNED FOR DEPRECATION. SEE MAINTENANCE NOTES AND CONSIDER CWE-252, CWE-248, OR CWE-1069.] Ignoring exceptions and other error conditions may allow an attacker to induce unexpected behavior unnoticed.",,,"CWE-754, CWE-703",,"Integrity, Other","Varies by Context, Unexpected State, Alter Execution Logic",,"Scopes: Integrity, Other | Impacts: Varies by Context, Unexpected State, Alter Execution Logic","Requirements, Implementation",,,"The choice between a language which has named or unnamed exceptions needs to be done. While unnamed exceptions exacerbate the chance of not properly dealing with an exception, named exceptions suffer from the up call version of the weak base class problem. | A language can be used which requires, at compile time, to catch all serious exceptions. However, one must make sure to use the most current version of the API as new exceptions could be added. | Catch all relevant exceptions. This is the recommended solution. Ensure that all exceptions are handled in such a way that you can be sure of the state of your system at any given moment.",Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-392,Missing Report of Error Condition,The product encounters an error but does not provide a status code or return value to indicate that an error has occurred.,,,"CWE-755, CWE-684, CWE-703",,"Integrity, Other","Varies by Context, Unexpected State",Errors that are not properly reported could place the system in an unexpected state that could lead to unintended behaviors.,"Scopes: Integrity, Other | Impacts: Varies by Context, Unexpected State | Notes: Errors that are not properly reported could place the system in an unexpected state that could lead to unintended behaviors.",,,,,,,
CWE-393,Return of Wrong Status Code,"A function or operation returns an incorrect return value or status code that does not indicate the true result of execution, causing the product to modify its behavior based on the incorrect result.","This can lead to unpredictable behavior. If the function is used to make security-critical decisions or provide security-critical information, then the wrong status code can cause the product to assume that an action is safe or correct, even when it is not.",,"CWE-684, CWE-703",,"Integrity, Other","Unexpected State, Alter Execution Logic",This weakness could place the system in a state that could lead unexpected logic to be executed or other unintended behaviors.,"Scopes: Integrity, Other | Impacts: Unexpected State, Alter Execution Logic | Notes: This weakness could place the system in a state that could lead unexpected logic to be executed or other unintended behaviors.",,,,,Fuzzing,High,"Fuzz testing (fuzzing) is a powerful technique for generating large numbers of diverse inputs - either randomly or algorithmically - and dynamically invoking the code with those inputs. Even with random inputs, it is often capable of generating unexpected results such as crashes, memory corruption, or resource consumption. Fuzzing effectively produces repeatable test cases that clearly indicate bugs, which helps developers to diagnose the issues."
CWE-394,Unexpected Status Code or Return Value,"The product does not properly check when a function or operation returns a value that is legitimate for the function, but is not expected by the product.",,,CWE-754,,"Integrity, Other","Unexpected State, Alter Execution Logic",,"Scopes: Integrity, Other | Impacts: Unexpected State, Alter Execution Logic",,,,,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-395,Use of NullPointerException Catch to Detect NULL Pointer Dereference,Catching NullPointerException should not be used as an alternative to programmatic checks to prevent dereferencing a null pointer.,"Programmers typically catch NullPointerException under three circumstances: The program contains a null pointer dereference. Catching the resulting exception was easier than fixing the underlying problem. The program explicitly throws a NullPointerException to signal an error condition. The code is part of a test harness that supplies unexpected input to the classes under test. Of these three circumstances, only the last is acceptable.",,"CWE-705, CWE-755",,Availability,DoS: Resource Consumption (CPU),,Scopes: Availability | Impacts: DoS: Resource Consumption (CPU),Architecture and Design,,,Do not extensively rely on catching exceptions (especially for validating user input) to handle errors. Handling exceptions can decrease the performance of an application.,"Automated Static Analysis - Binary or Bytecode, Dynamic Analysis with Manual Results Interpretation, Manual Static Analysis - Source Code, Automated Static Analysis - Source Code, Architecture or Design Review","SOAR Partial, High","According to SOAR [REF-1479], the following detection techniques may be useful: Cost effective for partial coverage: Bytecode Weakness Analysis - including disassembler + source code weakness analysis Binary Weakness Analysis - including disassembler + source code weakness analysis | According to SOAR [REF-1479], the following detection techniques may be useful: Cost effective for partial coverage: Framework-based Fuzzer | According to SOAR [REF-1479], the following detection techniques may be useful: Cost effective for partial coverage: Manual Source Code Review (not inspections) | According to SOAR [REF-1479], the following detection techniques may be useful: Highly cost effective: Source code Weakness Analyzer Context-configured Source Code Weakness Analyzer | According to SOAR [REF-1479], the following detection techniques may be useful: Highly cost effective: Formal Methods / Correct-By-Construction Cost effective for partial coverage: Inspection (IEEE 1028 standard) (can apply to requirements, design, source code, etc.)"
CWE-396,Declaration of Catch for Generic Exception,Catching overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.,"Multiple catch blocks can get ugly and repetitive, but ""condensing"" catch blocks by catching a high-level class like Exception can obscure exceptions that deserve special treatment or that should not be caught at this point in the program. Catching an overly broad exception essentially defeats the purpose of a language's typed exceptions, and can become particularly dangerous if the program grows and begins to throw new types of exceptions. The new exception types will not receive any attention.",,"CWE-705, CWE-755, CWE-221",,"Non-Repudiation, Other",Hide Activities,A generic exception can hide details about unexpected adversary activities by making it difficult to properly troubleshoot error conditions during execution.,"Scopes: Non-Repudiation, Other | Impacts: Hide Activities | Notes: A generic exception can hide details about unexpected adversary activities by making it difficult to properly troubleshoot error conditions during execution.",,,,,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-397,Declaration of Throws for Generic Exception,The product throws or raises an overly broad exceptions that can hide important details and produce inappropriate responses to certain conditions.,"Declaring a method to throw Exception or Throwable promotes generic error handling procedures that make it difficult for callers to perform proper error handling and error recovery. For example, Java's exception mechanism makes it easy for callers to anticipate what can go wrong and write code to handle each specific exceptional circumstance. Declaring that a method throws a generic form of exception defeats this system.",,"CWE-705, CWE-221, CWE-703",,"Non-Repudiation, Other","Hide Activities, Alter Execution Logic",Throwing a generic exception can hide details about unexpected adversary activities by making it difficult to properly troubleshoot error conditions during execution.,"Scopes: Non-Repudiation, Other | Impacts: Hide Activities, Alter Execution Logic | Notes: Throwing a generic exception can hide details about unexpected adversary activities by making it difficult to properly troubleshoot error conditions during execution.",,,,,Automated Static Analysis,High,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-40,Path Traversal: '\\UNC\share\name\' (Windows UNC Share),The product accepts input that identifies a Windows UNC share ('\\UNC\share\name') that potentially redirects access to an unintended location or arbitrary file.,,,CWE-36,,"Confidentiality, Integrity","Read Files or Directories, Modify Files or Directories",,"Scopes: Confidentiality, Integrity | Impacts: Read Files or Directories, Modify Files or Directories",Implementation,Input Validation,High,"Assume all input is malicious. Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications, or transform it into something that does. When performing input validation, consider all potentially relevant properties, including length, type of input, the full range of acceptable values, missing or extra inputs, syntax, consistency across related fields, and conformance to business rules. As an example of business rule logic, ""boat"" may be syntactically valid because it only contains alphanumeric characters, but it is not valid if the input is only expected to contain colors such as ""red"" or ""blue."" Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input, especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However, denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright. When validating filenames, use stringent allowlists that limit the character set to be used. If feasible, only allow a single ""."" character in the filename to avoid weaknesses such as CWE-23, and exclude directory separators such as ""/"" to avoid CWE-36. Use a list of allowable file extensions, which will help to avoid CWE-434. Do not rely exclusively on a filtering mechanism that removes potentially dangerous characters. This is equivalent to a denylist, which may be incomplete (CWE-184). For example, filtering ""/"" is insufficient protection if the filesystem also supports the use of ""\"" as a directory separator. Another possible error could occur when the filtering is applied in a way that still produces dangerous data (CWE-182). For example, if ""../"" sequences are removed from the "".../...//"" string in a sequential fashion, two instances of ""../"" would be removed from the original string, but the remaining characters would still form the ""../"" string. | Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked.",Automated Static Analysis,,"Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to execute it. Typically, this is done by building a model of data flow and control flow, then searching for potentially-vulnerable patterns that connect ""sources"" (origins of input) with ""sinks"" (destinations where the data interacts with external components, a lower layer such as the OS, etc.)"
CWE-400,Uncontrolled Resource Consumption,The product does not properly control the allocation and maintenance of a limited resource.,,"CAPEC-147, CAPEC-227, CAPEC-492",CWE-664,,"Availability, Access Control, Other","DoS: Crash, Exit, or Restart, DoS: Resource Consumption (CPU), DoS: Resource Consumption (Memory), DoS: Resource Consumption (Other), Bypass Protection Mechanism, Other","If an attacker can trigger the allocation of the limited resources, but the number or size of the resources is not controlled, then the most common result is denial of service. This would prevent valid users from accessing the product, and it could potentially have an impact on the surrounding environment, i.e., the product may slow down, crash due to unhandled errors, or lock out legitimate users. For example, a memory exhaustion attack against an application could slow down the application as well as its host operating system. | In some cases it may be possible to force the product to ""fail open"" in the event of resource exhaustion. The state of the product -- and possibly the security functionality - may then be compromised.","Scopes: Availability, Access Control, Other | Impacts: DoS: Crash, Exit, or Restart, DoS: Resource Consumption (CPU), DoS: Resource Consumption (Memory), DoS: Resource Consumption (Other), Bypass Protection Mechanism, Other | Notes: If an attacker can trigger the allocation of the limited resources, but the number or size of the resources is not controlled, then the most common result is denial of service. This would prevent valid users from accessing the product, and it could potentially have an impact on the surrounding environment, i.e., the product may slow down, crash due to unhandled errors, or lock out legitimate users. For example, a memory exhaustion attack against an application could slow down the application as well as its host operating system. | In some cases it may be possible to force the product to ""fail open"" in the event of resource exhaustion. The state of the product -- and possibly the security functionality - may then be compromised.","Architecture and Design, Implementation",,,"Design throttling mechanisms into the system architecture. The best protection is to limit the amount of resources that an unauthorized user can cause to be expended. A strong authentication and access control model will help prevent such attacks from occurring in the first place. The login application should be protected against DoS attacks as much as possible. Limiting the database access, perhaps by caching result sets, can help minimize the resources expended. To further limit the potential for a DoS attack, consider tracking the rate of requests received from users and blocking requests that exceed a defined rate threshold. | Mitigation of resource exhaustion attacks requires that the target system either: recognizes the attack and denies that user further access for a given amount of time, or uniformly throttles all requests in order to make it more difficult to consume resources more quickly than they can again be freed. The first of these solutions is an issue in itself though, since it may allow attackers to prevent the use of the system by a particular valid user. If the attacker impersonates the valid user, they may be able to prevent the user from accessing the server in question. The second solution is simply difficult to effectively institute -- and even when properly done, it does not provide a full solution. It simply makes the attack require more resources on the part of the attacker. | Ensure that protocols have specific limits of scale placed on them. | Ensure that all failures in resource allocation place the system into a safe posture.","Automated Static Analysis, Automated Dynamic Analysis, Fuzzing","Limited, Moderate, Opportunistic","Automated static analysis typically has limited utility in recognizing resource exhaustion problems, except for program-independent system resources such as files, sockets, and processes. For system resources, automated static analysis may be able to detect circumstances in which resources are not released after they have expired. Automated analysis of configuration files may be able to detect settings that do not specify a maximum value. Automated static analysis tools will not be appropriate for detecting exhaustion of custom resources, such as an intended security policy in which a bulletin board user is only allowed to make a limited number of posts per day. | Certain automated dynamic analysis techniques may be effective in spotting resource exhaustion problems, especially with resources such as processes, memory, and connections. The technique may involve generating a large number of requests to the product within a short time frame. | While fuzzing is typically geared toward finding low-level implementation bugs, it can inadvertently find resource exhaustion problems. This can occur when the fuzzer generates a large number of test cases but does not restart the targeted product in between test cases. If an individual test case produces a crash, but it does not do so reliably, then an inability to handle resource exhaustion may be the cause."
